GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38
1400000US36047026500,36047026500,"Census Tract 265, Kings County, New York",3415,406,2705,400,399,207,310,178,89,93,220,136,170,114,50,34,0,11,0,11,0,11,10,15,10,15,0,11,12,18,12,18,0,11,0,11,0,11,0,11,32,48,0,11,32,48,0,11,0,11,0,11,0,11,0,11,0,11,7,12,0,11,7,12,0,11,0,11,0,11,30,34,14,22,16,27
1400000US36047026600,36047026600,"Census Tract 266, Kings County, New York",3380,406,630,215,391,307,220,202,171,205,0,11,0,11,0,11,0,11,0,11,0,11,275,202,114,112,161,120,443,218,170,124,273,136,0,11,0,11,0,11,1392,419,444,241,948,318,0,11,0,11,0,11,0,11,0,11,0,11,119,103,52,40,67,66,103,179,22,38,81,141,27,33,19,31,8,12
1400000US36047026700,36047026700,"Census Tract 267, Kings County, New York",3629,395,3090,432,261,110,166,94,95,62,96,53,63,43,33,54,0,11,0,11,0,11,58,40,35,35,23,21,79,62,79,62,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,20,23,20,23,0,11,0,11,0,11,0,11,25,37,25,37,0,11
1400000US36047026800,36047026800,"Census Tract 268, Kings County, New York",3390,444,1077,283,608,304,248,149,360,257,0,11,0,11,0,11,34,49,34,49,0,11,503,164,94,73,409,130,304,159,216,155,88,59,0,11,0,11,0,11,779,216,230,105,549,152,9,14,9,14,0,11,9,13,9,13,0,11,14,20,7,10,7,10,43,74,22,37,21,37,10,15,10,15,0,11
1400000US36047026900,36047026900,"Census Tract 269, Kings County, New York",2738,359,2132,362,173,96,148,102,25,27,54,71,54,71,0,11,8,11,8,11,0,11,0,11,0,11,0,11,176,212,147,173,29,39,20,26,20,26,0,11,48,57,48,57,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,23,28,9,14,14,22,104,102,104,102,0,11
1400000US36047027000,36047027000,"Census Tract 270, Kings County, New York",2317,349,786,341,106,116,7,11,99,116,0,11,0,11,0,11,10,11,10,11,0,11,642,197,174,104,468,134,213,92,104,59,109,62,0,11,0,11,0,11,422,147,113,73,309,100,11,16,0,11,11,16,0,11,0,11,0,11,61,63,20,24,41,41,37,52,30,42,7,11,29,42,24,35,5,7
1400000US36047027100,36047027100,"Census Tract 271, Kings County, New York",2469,303,2054,292,154,78,128,76,26,25,46,37,35,32,11,17,19,29,18,28,1,4,9,14,9,14,0,11,47,43,19,21,28,29,0,11,0,11,0,11,14,23,14,23,0,11,0,11,0,11,0,11,0,11,0,11,0,11,12,19,12,19,0,11,64,88,16,23,48,66,50,73,20,30,30,62
1400000US36047027200,36047027200,"Census Tract 272, Kings County, New York",3298,383,1143,376,443,335,219,157,224,204,0,11,0,11,0,11,0,11,0,11,0,11,480,187,76,50,404,159,396,172,187,93,209,111,0,11,0,11,0,11,647,257,293,201,354,135,0,11,0,11,0,11,16,28,0,11,16,28,21,31,21,31,0,11,132,156,34,40,98,116,20,35,0,11,20,35
1400000US36047027300,36047027300,"Census Tract 273, Kings County, New York",2692,343,2347,349,87,66,42,45,45,45,130,146,49,55,81,92,17,28,0,11,17,28,46,67,46,67,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,33,52,19,29,14,23,0,11,0,11,0,11,32,38,32,38,0,11
1400000US36047027400,36047027400,"Census Tract 274, Kings County, New York",2887,343,548,146,237,127,27,38,210,118,11,17,11,17,0,11,8,12,8,12,0,11,266,129,106,65,160,99,401,174,105,62,296,136,0,11,0,11,0,11,1225,313,388,114,837,295,0,11,0,11,0,11,0,11,0,11,0,11,31,48,17,26,14,22,160,130,128,110,32,22,0,11,0,11,0,11
