,w_geocode,h_geocode,S000,SA01,SA02,SA03,SE01,SE02,SE03,SI01,SI02,SI03,createdate,origin_lat,origin_lon,origin_county,dest_lat,dest_lon,dest_county,linestring
3579360,360610076001001,360810249001001,2,1,1,0,1,1,0,0,0,2,20170919,40.7436763,-73.9030647,"Queens County, NY",40.7487635,-73.98637120000001,"New York County, NY","LINESTRING(-73.9030647 40.7436763, -73.98637120000001 40.7487635)"
3712047,360610086032000,360810014003005,1,0,0,1,1,0,0,0,0,1,20170919,40.693657,-73.85317640000001,"Queens County, NY",40.7549339,-73.9637737,"New York County, NY","LINESTRING(-73.85317640000001 40.693657, -73.9637737 40.7549339)"
1762521,360470454001002,360810601001000,1,1,0,0,0,1,0,0,0,1,20170919,40.7164558,-73.9000348,"Queens County, NY",40.6167994,-73.9641857,"Kings County, NY","LINESTRING(-73.9000348 40.7164558, -73.9641857 40.6167994)"
3179471,360610031001010,360470505002003,2,0,2,0,0,1,1,0,0,2,20170919,40.70762070000001,-73.9441092,"Kings County, NY",40.716376000000004,-74.00335390000001,"New York County, NY","LINESTRING(-73.9441092 40.70762070000001, -74.00335390000001 40.716376000000004)"
2520543,360593036005010,360594063004014,1,0,0,1,0,0,1,0,0,1,20170919,40.71732670000001,-73.6773452,"Nassau County, NY",40.738969299999994,-73.6493185,"Nassau County, NY","LINESTRING(-73.6773452 40.71732670000001, -73.6493185 40.738969299999994)"
5521856,360810317001003,360810263003000,1,0,1,0,0,0,1,0,0,1,20170919,40.7447302,-73.8984371,"Queens County, NY",40.7733071,-73.8924302,"Queens County, NY","LINESTRING(-73.8984371 40.7447302, -73.8924302 40.7733071)"
6744752,361031585073023,360595204012004,1,1,0,0,1,0,0,0,0,1,20170919,40.738489799999996,-73.4541053,"Nassau County, NY",40.8486034,-73.0525975,"Suffolk County, NY","LINESTRING(-73.4541053 40.738489799999996, -73.0525975 40.8486034)"
7322783,361190123042006,361190109011035,1,0,0,1,0,1,0,0,0,1,20170919,41.0498528,-73.794675,"Westchester County, NY",41.146076799999996,-73.6847795,"Westchester County, NY","LINESTRING(-73.794675 41.0498528, -73.6847795 41.146076799999996)"
3923755,360610100001000,360470254003003,1,0,0,1,0,0,1,0,0,1,20170919,40.6174887,-73.986649,"Kings County, NY",40.7602811,-73.9706608,"New York County, NY","LINESTRING(-73.986649 40.6174887, -73.9706608 40.7602811)"
3689276,360610083003003,360850138003014,1,0,1,0,0,0,1,0,0,1,20170919,40.5668344,-74.1295335,"Richmond County, NY",40.741891100000004,-74.0065296,"New York County, NY","LINESTRING(-74.1295335 40.5668344, -74.0065296 40.741891100000004)"
6792175,361031591054016,361031583211002,1,1,0,0,0,0,1,0,1,0,20170919,40.8857733,-73.0042777,"Suffolk County, NY",40.7809114,-73.0059455,"Suffolk County, NY","LINESTRING(-73.0042777 40.8857733, -73.0059455 40.7809114)"
2634707,360594073011116,360594076006008,1,0,1,0,0,0,1,0,0,1,20170919,40.7433318,-73.5631913,"Nassau County, NY",40.73322460000001,-73.60925490000001,"Nassau County, NY","LINESTRING(-73.5631913 40.7433318, -73.60925490000001 40.73322460000001)"
3105365,360610015021009,361190016001006,1,0,1,0,1,0,0,0,0,1,20170919,40.953050899999994,-73.8735485,"Westchester County, NY",40.7092721,-74.0098257,"New York County, NY","LINESTRING(-73.8735485 40.953050899999994, -74.0098257 40.7092721)"
7277361,361190111011002,361031354033011,1,0,1,0,0,0,1,0,0,1,20170919,40.8300274,-73.13529399999999,"Suffolk County, NY",41.0730486,-73.8403245,"Westchester County, NY","LINESTRING(-73.13529399999999 40.8300274, -73.8403245 41.0730486)"
369835,360050284001010,360595219023008,1,0,1,0,0,0,1,0,0,1,20170919,40.661978000000005,-73.4461043,"Nassau County, NY",40.8505963,-73.8386322,"Bronx County, NY","LINESTRING(-73.4461043 40.661978000000005, -73.8386322 40.8505963)"
5532613,360810331001000,360810098001000,1,0,1,0,1,0,0,0,0,1,20170919,40.6866211,-73.8267462,"Queens County, NY",40.7713881,-73.8690683,"Queens County, NY","LINESTRING(-73.8267462 40.6866211, -73.8690683 40.7713881)"
2576079,360594060011005,360811032013002,1,0,1,0,0,1,0,0,1,0,20170919,40.6101324,-73.7514944,"Queens County, NY",40.7037974,-73.6426847,"Nassau County, NY","LINESTRING(-73.7514944 40.6101324, -73.6426847 40.7037974)"
3582512,360610076001004,360471198002002,1,1,0,0,0,1,0,0,0,1,20170919,40.676764399999996,-73.89464759999998,"Kings County, NY",40.748063099999996,-73.9866813,"New York County, NY","LINESTRING(-73.89464759999998 40.676764399999996, -73.9866813 40.748063099999996)"
1645779,360470236004000,360850170103000,1,0,1,0,0,0,1,0,0,1,20170919,40.548063,-74.1961973,"Richmond County, NY",40.6340814,-73.99130809999998,"Kings County, NY","LINESTRING(-74.1961973 40.548063, -73.99130809999998 40.6340814)"
5312092,360810001001005,360810582002000,2,0,0,2,0,0,2,0,0,2,20170919,40.710989,-73.7365218,"Queens County, NY",40.7471568,-73.9557999,"Queens County, NY","LINESTRING(-73.7365218 40.710989, -73.9557999 40.7471568)"
4336644,360610125002000,360610273004000,1,1,0,0,0,0,1,0,0,1,20170919,40.8518659,-73.93642270000001,"New York County, NY",40.7608908,-73.98571329999999,"New York County, NY","LINESTRING(-73.93642270000001 40.8518659, -73.98571329999999 40.7608908)"
329738,360050217001002,360470429003001,1,0,0,1,0,1,0,0,0,1,20170919,40.700579,-73.92348299999999,"Kings County, NY",40.8461516,-73.91592740000002,"Bronx County, NY","LINESTRING(-73.92348299999999 40.700579, -73.91592740000002 40.8461516)"
2687031,360594097004002,361031237014019,1,1,0,0,1,0,0,0,0,1,20170919,40.686859999999996,-73.40418129999999,"Suffolk County, NY",40.6949129,-73.5047142,"Nassau County, NY","LINESTRING(-73.40418129999999 40.686859999999996, -73.5047142 40.6949129)"
1521365,360470063001001,360471220001012,1,0,1,0,0,0,1,0,0,1,20170919,40.667224100000006,-73.86081740000002,"Kings County, NY",40.684026200000005,-74.000341,"Kings County, NY","LINESTRING(-73.86081740000002 40.667224100000006, -74.000341 40.684026200000005)"
4637935,360610229003000,360610269001001,1,0,1,0,0,1,0,0,0,1,20170919,40.8517871,-73.9288153,"New York County, NY",40.8261683,-73.948785,"New York County, NY","LINESTRING(-73.9288153 40.8517871, -73.948785 40.8261683)"
6790499,361031591031012,361031591034021,1,0,0,1,0,0,1,0,1,0,20170919,40.782181099999995,-72.9568705,"Suffolk County, NY",40.784289,-72.9327652,"Suffolk County, NY","LINESTRING(-72.9568705 40.782181099999995, -72.9327652 40.784289)"
